0,1,2
127,612.0,169
128,992.0,447
129,1021.0,253
130,590.0,127
131,618.0,105
132,231.0,39
133,699.0,198
134,636.0,156
135,618.0,105
136,634.0,166
137,620.0,100
138,1271.0,410
139,618.0,105
140,231.0,39
141,633.0,172
142,586.0,114
143,1006.0,395
144,594.0,116
145,805.0,190
146,223.0,43
147,606.0,116
148,784.0,299
149,1273.0,437
150,988.0,417
151,635.0,162
152,231.0,39
153,634.0,166
154,988.0,417
155,877.0,980
156,626.0,105
157,218.0,44
158,231.0,39
159,729.0,401
160,1017.0,330
161,714.0,135
162,231.0,39
163,217.0,45
164,635.0,162
165,1032.0,198
166,231.0,39
167,618.0,105
168,231.0,39
169,1026.0,235
170,1004.0,340
171,626.0,103
172,580.0,115
173,226.0,42
174,614.0,111
175,718.0,141
176,721.0,251
177,1299.0,269
178,717.0,155
179,620.0,100
180,231.0,39
181,623.0,109
182,628.0,109
183,600.0,123
184,231.0,39
185,732.0,249
186,231.0,39
187,911.0,797
188,1033.0,191
189,1215.0,717
190,1018.0,317
191,715.0,189
192,635.0,161
193,635.0,160
194,1018.0,260
195,223.0,43
196,609.0,105
197,795.0,176
198,231.0,39
199,615.0,109
200,675.0,434
201,1274.0,396
202,231.0,39
203,936.0,675
204,770.0,181
205,231.0,39
206,1001.0,341
207,1015.0,334
208,610.0,103
209,1020.0,301
210,231.0,39
211,1045.0,184
212,231.0,39
213,628.0,109
214,874.0,1014
215,636.0,155
216,736.0,169
217,916.0,784
218,594.0,121
219,609.0,114
220,222.0,43
221,761.0,180
222,576.0,116
223,1029.0,256
224,611.0,107
225,636.0,156
226,588.0,115
227,1017.0,283
228,634.0,164
229,748.0,474
230,804.0,196
231,1279.0,338
232,231.0,39
233,605.0,114
234,1042.0,198
235,1256.0,510
236,767.0,383
237,633.0,170
238,803.0,201
239,583.0,118
240,217.0,45
241,587.0,149
242,721.0,335
243,1110.0,1208
244,627.0,102
245,1231.0,578
246,620.0,114
247,231.0,39
248,725.0,300
249,231.0,39
250,231.0,39
251,1023.0,259
252,636.0,156
253,1018.0,285
254,739.0,209
255,1005.0,385
256,593.0,740
257,218.0,44
258,636.0,156
259,636.0,156
260,598.0,121
261,231.0,39
262,684.0,322
263,231.0,39
264,753.0,453
265,732.0,202
266,231.0,39
267,231.0,39
268,614.0,113
269,226.0,42
270,223.0,43
271,231.0,39
272,771.0,360
273,627.0,102
274,634.0,166
275,1273.0,394
276,1202.0,749
277,790.0,266
278,629.0,113
279,1254.0,499
280,804.0,199
281,231.0,39
282,231.0,39
283,231.0,39
284,588.0,113
285,231.0,39
286,1203.0,751
287,757.0,225
288,604.0,151
289,231.0,39
290,992.0,447
291,606.0,119
292,231.0,39
293,231.0,39
294,231.0,39
295,231.0,39
296,1008.0,334
297,1012.0,288
298,231.0,39
299,722.0,154
300,635.0,161
301,231.0,39
302,794.0,245
303,1348.0,510
304,700.0,296
305,626.0,105
306,754.0,447
307,704.0,512
308,1214.0,710
309,963.0,592
310,231.0,39
311,605.0,112
312,231.0,39
313,231.0,39
314,1661.0,359
315,601.0,107
316,1013.0,286
317,217.0,45
318,769.0,1566
319,578.0,139
320,231.0,39
321,635.0,162
322,1300.0,267
323,741.0,258
324,1295.0,302
325,776.0,194
326,626.0,97
327,728.0,231
328,779.0,323
329,664.0,447
330,598.0,122
331,1027.0,270
332,594.0,114
333,636.0,156
334,1635.0,1611
335,231.0,39
336,627.0,102
337,604.0,117
338,1029.0,263
339,725.0,299
340,983.0,499
341,596.0,113
342,801.0,210
343,231.0,39
344,685.0,596
345,231.0,39
346,635.0,163
347,628.0,106
348,635.0,160
349,801.0,209
350,598.0,113
351,231.0,39
352,1270.0,417
353,626.0,97
354,215.0,45
355,621.0,158
356,776.0,176
357,596.0,109
358,635.0,160
359,222.0,43
360,226.0,42
361,231.0,39
362,635.0,162
363,960.0,599
364,612.0,110
365,626.0,97
366,609.0,117
367,1545.0,308
368,982.0,447
369,635.0,161
370,231.0,39
371,771.0,178
372,231.0,39
373,231.0,39
374,605.0,109
375,1021.0,273
376,698.0,226
377,231.0,39
378,602.0,111
379,782.0,307
380,231.0,39
381,764.0,397
382,597.0,116
383,231.0,39
384,231.0,39
385,1269.0,453
386,711.0,152
387,1028.0,266
388,602.0,113
389,222.0,43
390,231.0,39
391,659.0,507
392,635.0,163
393,755.0,291
394,989.0,462
395,1294.0,321
396,1248.0,535
397,932.0,707
398,786.0,285
399,745.0,491
400,635.0,163
401,1292.0,308
402,1209.0,712
403,231.0,39
404,626.0,97
405,592.0,118
406,1267.0,402
407,610.0,109
408,588.0,125
409,231.0,39
410,231.0,39
411,231.0,39
412,945.0,623
413,231.0,39
414,911.0,834
415,1299.0,272
416,1292.0,305
417,231.0,39
418,583.0,129
419,231.0,39
420,730.0,564
421,231.0,39
422,960.0,554
423,1010.0,301
424,966.0,580
425,636.0,156
426,1291.0,311
427,1259.0,556
428,636.0,155
429,636.0,156
430,804.0,197
431,768.0,375
432,231.0,39
433,850.0,1161
434,231.0,39
435,594.0,115
436,231.0,39
